parameter,kind,a,b,c,offset,unit_system,x_unit,units,source
k1,exp,1.10E+09,-4,0,0,cgs,cm,dyn/cm^3,Neely & Kim 1986 Table I
c1,exp,1500,-2,20,0,cgs,cm,dyn.s/cm^3,Neely & Kim 1986 Table I
m1,const,3.00E-03,0,0,0,cgs,cm,g/cm^2,Neely & Kim 1986 Table I
k2,exp,7.00E+06,-4.4,0,0,cgs,cm,dyn/cm^3,Neely & Kim 1986 Table I
c2,exp,10,-2.2,0,0,cgs,cm,dyn.s/cm^3,Neely & Kim 1986 Table I
m2,const,5.00E-04,0,0,0,cgs,cm,g/cm^2,"Neely & Kim 1986 Table I as ORIGINALLY printed gives m2=0.5e-3*exp(x) (exponentially growing with x); Elliott, Ku & Lineton (2007) JASA 122:2759-2771, Table I, publish this as a corrected typographical error -- constant, not exponential. Verified against cochleasim.analysis.response.gain_active_vs_passive: with kind=exp the model gave 33.8 dB gain at 6.4 kHz vs. the paper's 63 dB; fixing to kind=const (this row) reproduces 63.0 dB"
k3,exp,1.00E+07,-4,0,0,cgs,cm,dyn/cm^3,Neely & Kim 1986 Table I
c3,exp,2,-0.8,0,0,cgs,cm,dyn.s/cm^3,"Neely & Kim 1986 Table I as printed; Elliott-Ku-Lineton (2007) mistakenly 'corrected' this to 10.0*exp(-0.8x), then their own 2011 erratum (JASA 130:3158) corrected it back to 2.0*exp(-0.8x) -- confirms the original 1986 value was right all along"
k4,exp,6.15E+08,-4,0,0,cgs,cm,dyn/cm^3,Neely & Kim 1986 Table I
c4,exp,1040,-2,0,0,cgs,cm,dyn.s/cm^3,"Neely & Kim 1986 Table I as printed; Elliott-Ku-Lineton (2007) mistakenly 'corrected' this to 10.0*exp(-0.8x) (identical to their also-wrong c3), then their own 2011 erratum (JASA 130:3158) corrected it back to 1040*exp(-2x) -- confirms the original 1986 value was right all along"
H,const,0.2,0,0,0,cgs,cm,cm,"Neely & Kim 1986 Table I as printed gives H=0.1cm; Elliott, Ku & Lineton's 2011 erratum (JASA 130:3158) to their 2007 paper, 'Mistake 1', explicitly corrects H to 0.002m=0.2cm. This row now uses the corrected value"
gamma,const,1,0,0,0,cgs,-,--,Neely & Kim 1986 Table I
g,const,1,0,0,0,cgs,-,--,Neely & Kim 1986 Table I
b,const,0.4,0,0,0,cgs,-,--,Neely & Kim 1986 Table I
L,const,2.5,0,0,0,cgs,-,cm,Neely & Kim 1986 Table I
W,const,0.1,0,0,0,cgs,-,cm,Neely & Kim 1986 Table I
k_m,const,2.10E+05,0,0,0,cgs,-,dyn/cm^3,Neely & Kim 1986 Table I
c_m,const,400,0,0,0,cgs,-,dyn.s/cm^3,Neely & Kim 1986 Table I
m_m,const,4.50E-02,0,0,0,cgs,-,g/cm^2,Neely & Kim 1986 Table I
c_h,const,0,0,0,0,cgs,-,dyn.s/cm^3,Neely & Kim 1986 Table I (not given; Pd(L)=0 used)
A_s,const,0.01,0,0,0,cgs,-,cm^2,Neely & Kim 1986 Table I
A_m,const,0.35,0,0,0,cgs,-,cm^2,Neely & Kim 1986 Table I
G_m,const,0.5,0,0,0,cgs,-,--,Neely & Kim 1986 Table I
rho,const,1,0,0,0,cgs,-,g/cm^3,Neely & Kim 1986 Table I
N,const,1000,0,0,0,cgs,-,--,"Neely & Kim 1986 Table I gives N=251 (their original grid size); informational only, solve_pressure's own N argument governs the actual solve. Raised to 1000 here since N=1000 is required at 25.6 kHz to avoid mesh-resolution artifacts (see cochlear_model.py docstring)"
