parameter,kind,a,b,c,offset,unit_system,x_unit,units,source
k1,exp,4.95e9,-320.0,0,0.00375,SI,m,N/m^3,"Kouilily et al. 2024, Table 1, citing Ku 2008 thesis"
c1,exp,19700.0,-179.0,1.0,0.00375,SI,m,N.s/m^3,"Kouilily et al. 2024, Table 1, citing Ku 2008 thesis"
m1,const,1.35e-2,0,0,0,SI,m,kg/m^2,"Kouilily et al. 2024, Table 1, citing Ku 2008 thesis"
k2,exp,3.15e7,-352.0,0,0.00375,SI,m,N/m^3,"Kouilily et al. 2024, Table 1, citing Ku 2008 thesis"
c2,exp,113.0,-176.0,0,0.00375,SI,m,N.s/m^3,"Kouilily et al. 2024, Table 1, citing Ku 2008 thesis"
m2,const,2.3e-3,0,0,0,SI,m,kg/m^2,"Kouilily et al. 2024, Table 1, citing Ku 2008 thesis"
k3,exp,4.5e7,-320.0,0,0.00375,SI,m,N/m^3,"Kouilily et al. 2024, Table 1, citing Ku 2008 thesis"
c3,exp,22.5,-64.0,0,0.00375,SI,m,N.s/m^3,"Kouilily et al. 2024, Table 1, citing Ku 2008 thesis"
k4,exp,2.82e9,-320.0,0,0.00375,SI,m,N/m^3,"Kouilily et al. 2024, Table 1, citing Ku 2008 thesis"
c4,exp,9650.0,-164.0,0,0.00375,SI,m,N.s/m^3,"Kouilily et al. 2024, Table 1, citing Ku 2008 thesis"
H,exp,0.1,-0.4,0,0,cgs,cm,cm,"tapered scala height, form from Neely & Rasetshwane 2017; NOT from Ku (his table gives constant H=0.001m); cross-checked against real human scala tympani area measurements (see project notes)"
gamma,const,1.0,0,0,0,cgs,-,--,"Ku 2008 thesis Table 2.1 -- pendiente verificar contra fuente primaria"
g,const,1.0,0,0,0,cgs,-,--,"Ku 2008 thesis Table 2.1 -- pendiente verificar contra fuente primaria"
b,const,0.4,0,0,0,cgs,-,--,"Ku 2008 thesis Table 2.1 -- pendiente verificar contra fuente primaria"
L,const,0.035,0,0,0,SI,-,m,"Ku 2008 thesis Table 2.1 -- pendiente verificar contra fuente primaria (otros modelos humanos usan 32-35mm, ver Tubelli et al. 2024)"
W,const,0.1,0,0,0,cgs,-,cm,"stated in Ku 2008 thesis text (not in Table 2.1 itself) -- pendiente verificar"
k_m,const,1.974e7,0,0,0,cgs,-,dyn/cm^3,"derived: k_m=m_m*omega0^2, omega0=2*pi*1000 rad/s (Nakajima et al. 2009 basal pressure-transfer peak ~1kHz); NOT from Ku (his km/cm/mm use an incompatible middle-ear formulation)"
c_m,const,4488.0,0,0,0,cgs,-,dyn.s/cm^3,"derived: c_m=m_m*omega0/Q, Q=0.7 (Butterworth/maximally-flat criterion; cross-checked against Xin et al. zeta=0.7 for a similar middle-ear fit)"
m_m,const,0.5,0,0,0,cgs,-,g/cm^2,"derived: 16mg effective ossicular mass (Nummela 1995 / Sim & Puria 2008 / Manoharan et al. 2022 cluster, ~65mg raw mass / 3-5x rotational-vs-translational correction per Puria & Steele 2010) / A_s"
A_s,const,3.2e-6,0,0,0,SI,-,m^2,"Ku 2008 thesis Table 2.1 -- pendiente verificar contra fuente primaria"
A_m,const,0.55,0,0,0,cgs,-,cm^2,"standard human eardrum area estimate (Bekesy 1960); NOT from Ku"
G_m,const,1.0,0,0,0,cgs,-,--,"lever gain folded into A_m above; NOT from Ku"
rho,const,1000,0,0,0,SI,-,kg/m^3,"Ku 2008 thesis Table 2.1 -- pendiente verificar contra fuente primaria"
c_h,const,350.0,0,0,0,SI,-,N.s/m^3,"Ku 2008 thesis Table 2.1 -- pendiente verificar contra fuente primaria; nota: Kouilily et al. 2024 usa en su lugar la condicion de contorno simplificada Pd(L)=0 (equivalente al limite c_h->0 ya soportado por solve_pressure), sin restablecer un valor propio de c_h"
N,const,500,0,0,0,cgs,-,--,"Ku 2008 thesis Table 2.1 -- pendiente verificar contra fuente primaria (coincide con N=500 usado en Elliott, Ku & Lineton 2007)"
