f_kHz,f_over_BF,amplitude_Pa,phase_cycles
2,0.11,0.025,0.2
3,0.16,0.026,0.2
4,0.21,0.027,0.2
5,0.26,0.04,0.2
6,0.32,0.051,0.2
7,0.37,0.075,0.2
8,0.42,0.12,0.22
9,0.47,0.19,0.22
10,0.53,0.3,0.22
11,0.58,0.3,0.19
12,0.63,0.38,0.16
13,0.68,0.45,0.1
14,0.74,0.6,0.04
15,0.79,0.72,-0.04
16,0.84,0.84,-0.15
17,0.89,1.03,-0.26
18,0.95,1.4,-0.5
19,1.00,1.84,-0.78
20,1.05,1.71,-1.1
21,1.11,1,-1.4
22,1.16,0.6,-1.7
23,1.21,0.35,-2.1
24,1.26,0.2,-2
25,1.32,0.15,-2
26,1.37,0.13,-2
27,1.42,0.1,-2
28,1.47,0.09,-2
29,1.53,0.1,-2
30,1.58,0.1,-2
31,1.63,0.1,-2
32,1.68,0.1,-2
33,1.74,0.1,-2
34,1.79,0.1,-2
